Bucket: 0. Cell count: 1024. valid slot count: 12364. Load factor: 0.928786 Probe sum: 10924, Avg probe dis: 10.67
Bucket: 0. Cell count: 2048. valid slot count: 24400. Load factor: 0.916466 Probe sum: 13510, Avg probe dis: 6.60
Bucket: 0. Cell count: 4096. valid slot count: 49717. Load factor: 0.933688 Probe sum: 33878, Avg probe dis: 8.27
Bucket: 0. Cell count: 8192. valid slot count: 97679. Load factor: 0.917208 Probe sum: 53853, Avg probe dis: 6.57
Bucket: 0. Cell count: 16384. valid slot count: 194962. Load factor: 0.915349 Probe sum: 96273, Avg probe dis: 5.88
Bucket: 0. Cell count: 32768. valid slot count: 384861. Load factor: 0.903464 Probe sum: 157135, Avg probe dis: 4.80
Bucket: 0. Cell count: 65536. valid slot count: 774125. Load factor: 0.908632 Probe sum: 341537, Avg probe dis: 5.21
Bucket: 0. Cell count: 131072. valid slot count: 1516417. Load factor: 0.889950 Probe sum: 508318, Avg probe dis: 3.88
Bucket: 0. Cell count: 262144. valid slot count: 3039222. Load factor: 0.891824 Probe sum: 1037900, Avg probe dis: 3.96
Bucket: 0. Cell count: 524288. valid slot count: 6021083. Load factor: 0.883408 Probe sum: 1852620, Avg probe dis: 3.53
Bucket: 0. Cell count: 1048576. valid slot count: 11735689. Load factor: 0.860925 Probe sum: 2840749, Avg probe dis: 2.71
Bucket: 0. Cell count: 2097152. valid slot count: 23573267. Load factor: 0.864662 Probe sum: 5901576, Avg probe dis: 2.81
Bucket: 0. Cell count: 4194304. valid slot count: 47098823. Load factor: 0.863787 Probe sum: 11572705, Avg probe dis: 2.76
Bucket: 0. Cell count: 8388608. valid slot count: 94577218. Load factor: 0.867268 Probe sum: 23734506, Avg probe dis: 2.83
